"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Apogee (km),Date of Launch
Measat 3B (Malaysia East Asia Sat 3B),Measat 3B,Malaysia,Commercial,Communications,"35,802",2014-09-11
Megha-Tropiques,Megha-Tropiques,India/France,Government,Earth Observation,868,2011-10-12
Merah Putih (Telkom 4),Merah Putih,Indonesia,Commercial,Communications,"35,797",2018-08-07
"Mercury 1 (Advanced Vortex 1, USA 105)",USA 105,USA,Military,Earth Observation,"35,976",1994-08-27
"Mercury 2 (Advanced Vortex 2, USA 118)",USA 118,USA,Military,Earth Observation,"37,900",1996-04-24
"Mercury 3 (NROL 67, USA 250)",USA 250,USA,Military,Earth Observation,"35,500",2014-04-10
Meridian-3,Meridian-3,Russia,Military,Communications,"38,105",2010-11-02
Meridian-4,Meridian-4,Russia,Military,Communications,"38,637",2011-05-04
Meridian-6 (Meridian 16L),Meridian-6,Russia,Military,Communications,"38,860",2012-11-14
Meridian-7 (Meridian 17L),Meridian-7,Russia,Military,Communications,"39,398",2014-10-30
Meridian-8 (Meridian 18L),Meridian-8,Russia,Military,Communications,"39,735",2019-07-30
Meridian-9 (Meridian 19L),Meridian-9,Russia,Military,Communications,"39,308",2020-02-20
Meshbed,Meshbed,USA,Government,Technology Development,517,2019-11-27
Meteor-M 2.2,Meteor-M 2.2,Russia,Government,Earth Observation,815,2019-07-05
Meteor-M N-2,Meteor-M N-2,Russia,Government,Earth Observation,828,2014-07-08
"Meteosat 10 (MSGalaxy-3,MSG 3)",Meteosat 10,Multinational,Government/Civil,Earth Observation,"35,791",2012-07-05
Meteosat 11 (MSG 4),Meteosat 11,Multinational,Government/Civil,Earth Observation,"35,795",2015-07-15
"Meteosat 8 (MSGalaxy-1, MSG-1)",Meteosat 8,Multinational,Government/Civil,Earth Observation,"35,793",2002-08-21
"Meteosat 9 (MSGalaxy-2, MSG 2)",Meteosat 9,Multinational,Government/Civil,Earth Observation,"35,795",2005-12-21
MetOp-A (Meteorological Operational satellite),MetOp-A,Multinational,Government/Civil,Earth Observation,821,2006-10-19
MetOp-B (Meteorological Operational satellite),MetOp-B,Multinational,Government/Civil,Earth Observation,822,2012-09-17
MetOp-C (Meteorological Operational satellite),MetOp-C,Multinational,Government/Civil,Earth Observation,829,2018-11-06
MEV-1 (Mission Extension Vehicle-1) ,MEV-1,USA,Commercial,Mission Extension Technology,"36,000",2019-10-09
MEV-2 (Mission Extension Vehicle-2),MEV-2,USA,Commercial,Mission Extension Technology,"35,789",2020-08-15
Mexsat-3 (Mexsat Bicentenario),Mexsat-3,Mexico,Government/Military,Communications,"35,791",2012-12-19
Mexsat-3 (Morelos-3),Mexsat-3,Mexico,Government,Communications,"35,805",2015-10-02
MeznSat,MeznSat,United Arab Emirates,Civil,Earth Observation,567,2020-09-28
MicroDragon,MicroDragon,Vietnam,Government,Earth Observation,511,2019-01-18
MicroMAS-2A (Micro-sized Microwave Atmospheric Satellite),MicroMAS-2A ,USA,Civil/Government,Earth Observation,505,2018-01-11
Mikhailo Lomonosov (MVL-300),MVL-300,Russia,Civil/Government,Space Science,487,2016-04-27
"Milstar DFS-1 (USA 99, Milstar 1-F1) (Military Strategic and Tactical Relay)",USA 99,USA,Military,Communications,"35,819",1994-02-07
"Milstar DFS-4 (USA 157, Milstar 2-F2) (Military Strategic and Tactical Relay)",USA 157,USA,Military,Communications,"35,768",2001-02-27
"Milstar DFS-5 (USA 164, Milstar 2-F3) (Military Strategic and Tactical Relay)",USA 164,USA,Military,Communications,"35,820",2002-01-16
Milstar DFS-6 (USA 169) (Military Strategic and Tactical Relay),USA 169,USA,Military,Communications,"35,806",2003-04-08
Mir-Sat-1 (Mauritian Imagery and Radiotelecommunication Satellite 1),Mir-Sat-1,Mauritius,Government,Earth Observation,419,2021-06-22
MMS-1 (Magnetospheric Multiscale Mission),MMS-1,USA,Government,Space Science,"70,009",2015-03-13
MMS-2 (Magnetospheric Multiscale Mission),MMS-2,USA,Government,Space Science,"70,117",2015-03-13
MMS-3 (Magnetospheric Multiscale Mission),MMS-3,USA,Government,Space Science,"70,045",2015-03-13
MMS-4 (Magnetospheric Multiscale Mission),MMS-4,USA,Government,Space Science,"70,157",2015-03-13
Mohammed VI-A ,Mohammed VI-A,Morocco,Government,Earth Observation,638,2017-11-08
Mohammed VI-B ,Mohammed VI-B,Morocco,Government,Earth Observation,606,2018-11-21
Monolith,Monolith,USA,Military,Technology Development,609,2021-07-29
MOST (Microvariability & Oscillations of STars),Microvariability & Oscillations of Stars (MOST),Canada,Government,Space Science,832,2003-06-30
MOVE II (Munich Orbital Verification Experiment II),MOVE II,Germany,Government/Civil,Technology Development,590,2018-12-03
MOVE IIb (Munich Orbital Verification Experiment ,MOVE Iib,Germany,Government/Civil,Technology Development,550,2019-07-05
Mozhayets 4 (RS-22),Mozhayets 4,Russia,Government/Civil,Technology Development,690,2003-09-27
MP6,MP6,Lithuania,Commercial,Technology Development,514,2019-04-01
MSAT 1 ,MSAT 1,USA/Canada,Commercial,Communications,"35,809",1996-04-20
"MSAT 2 (AMSC-1, ACTel-1)",MSAT 2,USA/Canada,Commercial,Communications,"35,796",1995-04-07
MTI (Multispectral Thermal Imager),Multispectral Thermal Imager (MTI),USA,Government/Military,Technology Development,478,2000-03-12
MUOS-1 (Mobile User Objective System 1),MUOS-1,USA,Military,Communications,"36,006",2012-02-24
MUOS-2 (Mobile User Objective System 2),MUOS-2,USA,Military,Communications,"36,023",2013-07-19
MUOS-3 (Mobile User Objective System 3),MUOS-3,USA,Military,Communications,"35,998",2015-01-21
MUOS-4 (Mobile User Objective System 4),MUOS-4,USA,Military,Communications,"35,997",2015-09-02
MUOS-5 (Mobile User Objective System 5),MUOS-5,USA,Military,Communications,"35,998",2016-06-24
NanoACE,NanoACE,USA,Commercial,Technology Development,602,2017-07-14
NanoDragon,NanoDragon,Vietnam,Government,Technology Development,572,2021-11-08
Nanosat-1,Nanosat-1,Spain,Government,Communications,659,2004-12-18
Nanosat-1B,Nanosat-1B,Spain,Government,Communications/Technology Development,672,2009-07-29
NANOSATC-BR2,NANOSATC-BR2,Brazil,Government/Civil,Earth Observation,557,2021-03-22
NAPA-1 (Royal Thai Air Force Sat-1),NAPA-1,Thailand,Military,Earth Observation,535,2020-09-02
NAPA-2 (Royal Thai Air Force Sat-2),NAPA-2,Thailand,Military,Earth Observation,540,2021-06-30
NARSSCUBE-2 (National Authority for Remote Sensing and Space Sciences),NARSSCUBE-2,Egypt,Government,Technology Development,483,2019-07-25
"Navstar GPS IIF-1 (Navstar SVN 62, PRN 25, USA 213)",USA 213,USA,Military/Commercial,Navigation/Global Positioning,"20,224",2010-05-28
"Navstar GPS IIF-10 (Navstar SVN 72, PRN 8, USA 262)",USA 262,USA,Military/Commercial,Navigation/Global Positioning,"20,459",2015-07-15
"Navstar GPS IIF-11 (Navstar SVN 73, PRN 10, USA 265)",USA 265,USA,Military/Commercial,Navigation/Global Positioning,"20,486",2015-10-31
"Navstar GPS IIF-12 (Navstar SVN 70, PRN 32, USA 266)",USA 266,USA,Military/Commercial,Navigation/Global Positioning,"20,188",2016-02-05
"Navstar GPS IIF-2 (Navstar SVN 63, PRN 01, USA 232)",USA 232,USA,Military/Commercial,Navigation/Global Positioning,"20,464",2011-07-16
"Navstar GPS IIF-3 (Navstar SVN 65, PRN 24, USA 239)",USA 239,USA,Military/Commercial,Navigation/Global Positioning,"20,191",2012-10-04
"Navstar GPS IIF-4 (Navstar SVN 66, PRN 27, USA 242)",USA 242,USA,Military/Commercial,Navigation/Global Positioning,"20,247",2013-05-15
"Navstar GPS IIF-5 (Navstar SVN 64, PRN 30, USA 248)",USA 248,USA,Military/Commercial,Navigation/Global Positioning,"20,469",2014-02-21
"Navstar GPS IIF-6 (Navstar SVN 67, PRN 06, USA 251)",USA 251,USA,Military/Commercial,Navigation/Global Positioning,"20,188",2014-05-17
"Navstar GPS IIF-7 (Navstar SVN 68, PRN 09, USA 256)",USA 256,USA,Military/Commercial,Navigation/Global Positioning,"20,476",2014-08-02
"Navstar GPS IIF-8 (Navstar SVN 69, PRN 03, USA 258)",USA 258,USA,Military/Commercial,Navigation/Global Positioning,"20,211",2014-10-29
"Navstar GPS IIF-9 (Navstar SVN 71, PRN 26, USA 260)",USA 260,USA,Military/Commercial,Navigation/Global Positioning,"20,469",2015-03-25
"Navstar GPS III-1 (Navstar SVN 74, PRN 04, USA 289)",USA 289,USA,Military/Commercial,Navigation/Global Positioning,"20,189",2018-12-23
"Navstar GPS III-2 (Navstar SVN 75, PRN 18, USA 293)",USA 293,USA,Military/Commercial,Navigation/Global Positioning,"20,203",2019-08-22
"Navstar GPS III-3 (Navstar SVN 76, PRN 23, USA 304)",USA 304,USA,Military/Commercial,Navigation/Global Positioning,"20,199",2020-06-30
"Navstar GPS III-4 (Navstar SVN 77, PRN 14, USA 309)",USA 309,USA,Military/Commercial,Navigation/Global Positioning,"20,186",2020-11-05
"Navstar GPS III-5 (Navstar SVN 78, PRN 11, USA 319)",USA 319,USA,Military/Commercial,Navigation/Global Positioning,"20,198",2021-06-17
"Navstar GPS IIR-10 (Navstar SVN 47, PRN 22, USA 175)",USA 175,USA,Military/Commercial,Navigation/Global Positioning,"20,327",2003-12-21
"Navstar GPS IIR-11 (Navstar SVN 59, PRN 19, USA 177)",USA 177,USA,Military/Commercial,Navigation/Global Positioning,"20,276",2004-03-20
"Navstar GPS IIR-13 (Navstar SVN 61, PRN 02, USA 180)",USA 180,USA,Military/Commercial,Navigation/Global Positioning,"20,426",2004-11-06
"Navstar GPS IIR-2 (Navstar SVN 43, PRN 13, USA 132)",USA 132,USA,Military/Commercial,Navigation/Global Positioning,"20,247",1997-07-23
"Navstar GPS IIR-3 (Navstar SVN 46, PRN 11, USA 145)",USA 145,USA,Military/Commercial,Navigation/Global Positioning,"20,268",1999-10-07
"Navstar GPS IIR-4 (Navstar SVN 51, PRN 20, USA 150)",USA 150,USA,Military/Commercial,Navigation/Global Positioning,"20,234",2000-05-11
"Navstar GPS IIR-5 (Navstar SVN 44, PRN 28, USA 151)",USA 151,USA,Military/Commercial,Navigation/Global Positioning,"20,427",2000-07-16
"Navstar GPS IIR-6 (Navstar SVN 41, PRN 14, USA 154)",USA 154,USA,Military/Commercial,Navigation/Global Positioning,"20,498",2000-11-10
"Navstar GPS IIR-7 (Navstar SVN 54, PRN 18, USA 156)",USA 156,USA,Military/Commercial,Navigation/Global Positioning,"20,266",2001-01-30
"Navstar GPS IIR-8 (Navstar SVN 56, PRN 16, USA 166)",USA 166,USA,Military/Commercial,Navigation/Global Positioning,"20,344",2003-01-29
"Navstar GPS IIR-9 (Navstar SVN 45, PRN 21, USA 168)",USA 168,USA,Military/Commercial,Navigation/Global Positioning,"20,433",2003-03-31
"Navstar GPS IIR-M-1 (Navstar SVN 53, PRN 17, USA 183)",USA 183,USA,Military/Commercial,Navigation/Global Positioning,"20,221",2005-09-26
"Navstar GPS IIR-M-2 (Navstar SVN 52, PRN 31, USA 190)",USA 190,USA,Military/Commercial,Navigation/Global Positioning,"20,342",2006-09-25
"Navstar GPS IIR-M-3 (Navstar SVN 58, PRN 12, USA 192)",USA 192,USA,Military/Commercial,Navigation/Global Positioning,"20,366",2006-11-17
"Navstar GPS IIR-M-4 (Navstar SVN 55, PRN 15, USA 196)",USA 196,USA,Military/Commercial,Navigation/Global Positioning,"20,213",2007-10-17
"Navstar GPS IIR-M-5 (Navstar SVN 57, PRN 29, USA 199)",USA 199,USA,Military/Commercial,Navigation/Global Positioning,"20,311",2007-12-20
"Navstar GPS IIR-M-6 (Navstar SVN 48, PRN 07, USA 201)",USA 201,USA,Military/Commercial,Navigation/Global Positioning,"20,152",2008-03-15
"Navstar GPS IIR-M-8 (Navstar SVN 50, PRN 05, USA 206)",USA 206,USA,Military/Commercial,Navigation/Global Positioning,"20,209",2009-08-17
Naxing 2,Naxing 2,China,Civil,Technology Development,540,2015-09-19
"Nayif-1 (Emirates Oscar 88, EO88)",Nayif-1,United Arab Emirates,Civil,Communications/Technology Development,507,2017-02-15
NEMO-HD,NEMO-HD,Slovenia,Civil,Earth Observation,523,2020-09-02
NEO-1 ,NEO-1,China,Commercial,Technology Development,509,2021-04-27
NEOSSat (Near Earth Object Surveillance Satellite),NEOSSat,Canada,Government,Space Observation,786,2013-02-25
Neptuno,Neptuno,Spain,Government,Earth Observation,533,2021-06-30
Netsat-1,Netsat-1,Germany,Commercial,Technology Demonstration,567,2020-09-28
Netsat-2,Netsat-2,Germany,Commercial,Technology Demonstration,567,2020-09-28
Netsat-3,Netsat-3,Germany,Commercial,Technology Demonstration,568,2020-09-28
Netsat-4,Netsat-4,Germany,Commercial,Technology Demonstration,568,2020-09-28
NextSat-1,NextSat-1,South Korea,Government,Space Science,588,2018-12-03
Nexus (Fuji-Oscar-99),Nexus,Japan,Civil,Communications,512,2019-01-18
NigComSat-1R,NigComSat-1R,Nigeria,Commercial,Communications,"35,795",2011-12-17
NigeriaSat-2,NigeriaSat-2,Nigeria,Government,Earth Observation,705,2011-08-17
Nigeriasat-X,Nigeriasat-X,Nigeria,Government,Earth Observation/Technology Development,696,2011-08-17
Nilesat 201,Nilesat 201,Egypt,Government,Communications,"35,813",2010-08-04
Nimiq 4,Nimiq 4,Canada,Commercial,Communications,"35,794",2008-09-19
Nimiq 5,Nimiq 5,Canada,Commercial,Communications,"35,700",2009-09-17
Nimiq 6,Nimiq 6,Canada,Commercial,Communications,"35,809",2012-05-18
Ningxia-1 01,Ningxia-1 01,China,Commercial,Earth Observation,898,2019-11-13
Ningxia-1 02,Ningxia-1 02,China,Commercial,Earth Observation,897,2019-11-13
Ningxia-1 03,Ningxia-1 03,China,Commercial,Earth Observation,897,2019-11-13
Ningxia-1 04,Ningxia-1 04,China,Commercial,Earth Observation,898,2019-11-13
Ningxia-1 05,Ningxia-1 05,China,Commercial,Earth Observation,897,2019-11-13
Ningxia-2 01,Ningxia-2 01,China,Commercial,Earth Observation,866,2021-07-09
Ningxia-2 02,Ningxia-2 02,China,Commercial,Earth Observation,866,2021-07-09
Ningxia-2 03,Ningxia-2 03,China,Commercial,Earth Observation,866,2021-07-09
Ningxia-2 04,Ningxia-2 04,China,Commercial,Earth Observation,866,2021-07-09
Ningxia-2 05,Ningxia-2 05,China,Commercial,Earth Observation,866,2021-07-09
NIUSat (Noorul Islam University Satellite),NIUSat,India,Civil,Technology Development,517,2017-06-22
NOAA-15 (NOAA-K),NOAA-15,USA,Government,Earth Observation,816,1998-05-13
"NOAA-18 (NOAA-N, COSPAS-SARSAT)",NOAA-18,USA,Government,Earth Observation,864,2005-05-20
"NOAA-19 (NOAA-N Prime, COSPAS-SARSAT)",NOAA-19,USA,Government,Earth Observation,864,2009-02-06
NOAA-20 (JPSS-1),NOAA-20,USA,Government,Earth Observation,819,2017-11-18
NOOR,NOOR,Iran,Military,Earth Observation,440,2020-04-21
Norbi,Norbi,Russia,Civil,Space Science,568,2020-09-28
NorSat-1,NorSat-1,Norway,Government,Earth Science/Earth Observation,605,2017-07-14
NorSat-2,NorSat-2,Norway,Government,Earth Observation,605,2017-07-14
NorSat-3,NorSat-3,Norway,Government,Earth Observation,613,2021-04-29
NovaSAR-1,NovaSAR-1,United Kingdom,Government/Commercial,Earth Observation,600,2018-09-16
NPP (National Polar-orbiting Operational Environmental Satellite System [NPOESS]),NPP,USA,Government,Earth Observation,827,2011-10-28
NPSat-1 (Naval Postgraduate Satellite 1),NPSat-1,USA,Civil/Military,Technology Development,720,2019-06-25
NROL RASR Smallsat-2 (USA 301),USA 301,USA,Military,Unknown,600,2020-06-13
NROL RASR Smallsat-3 (USA 302),USA 302,USA,Military,Unknown,600,2020-06-13
NROL RASR Smallsat-4 (USA 303),USA 303,USA,Military,Unknown,600,2020-06-13
NROL-129 (USA 305),USA 305,USA,Military,Earth Observation,579,2020-07-15
NROL-129 (USA 306),USA 306,USA,Military,Earth Observation,579,2020-07-15
NROL-129 (USA 307),USA 307,USA,Military,Earth Observation,579,2020-07-15
NROL-129 (USA 308),USA 308,USA,Military,Earth Observation,579,2020-07-15
NROL-151 (USA 294),USA 294,USA,Military,Technology Development,588,2020-01-31
NROL-76 (USA 276),USA 276,USA,Military,Technology Development,300,2017-05-01
NSLSat-1 ,NSLSat-1,Israel,Commercial,Technology Development,543,2019-07-05
"NSS-10 (Star One C-12, AMC-12, Americom 12, Worldsat 2)",NSS-10,Netherlands,Commercial,Communications,"35,795",2005-02-03
"NSS-11 (Worldsat-1, AAP-1, GE-1A) ",NSS-11,Netherlands,Commercial,Communications,"35,798",2000-10-02
NSS-12,NSS-12,Netherlands,Commercial,Communications,"35,793",2009-10-29
NSS-5 (Intelsat 803),NSS-5,Netherlands,Commercial,Communications,"35,796",1997-09-23
NSS-6 ,NSS-6,Netherlands,Commercial,Communications,"35,797",2002-12-17
NSS-7 ,NSS-7,Netherlands,Commercial,Communications,"35,798",2002-04-16
NSS-9,NSS-9,Netherlands,Commercial,Communications,"35,792",2009-02-11
Nusantara Satu,Nusantara Satu (PSN-6),Indonesia,Commercial,Communications,"35,798",2019-02-21
ÑuSat-10 (Caroline),ÑuSat-10,Argentina,Commercial,Earth Observation,477,2020-11-06
ÑuSat-11 (Cora),ÑuSat-11,Argentina,Commercial,Earth Observation,478,2020-11-06
ÑuSat-12 (Dorothy),ÑuSat-12,Argentina,Commercial,Earth Observation,477,2020-11-06
ÑuSat-13 (Emmy),ÑuSat-13,Argentina,Commercial,Earth Observation,475,2020-11-06
ÑuSat-14 (Hedy),ÑuSat-14,Argentina,Commercial,Earth Observation,478,2020-11-06
ÑuSat-15 (Katherine),ÑuSat-15,Argentina,Commercial,Earth Observation,476,2020-11-06
ÑuSat-16 (Lise),ÑuSat-16,Argentina,Commercial,Earth Observation,473,2020-11-06
ÑuSat-17 (Mary),ÑuSat-17,Argentina,Commercial,Earth Observation,474,2020-11-06
ÑuSat-18 (Vera),ÑuSat-18,Argentina,Commercial,Earth Observation,473,2020-11-06
ÑuSat-19 (Rosalind),ÑuSat-19,Argentina,Commercial,Earth Observation,536,2021-06-30
ÑuSat-20 (Grace),ÑuSat-20,Argentina,Commercial,Earth Observation,536,2021-06-30
ÑuSat-21 (Elisa),ÑuSat-21,Argentina,Commercial,Earth Observation,536,2021-06-30
ÑuSat-22 (Sofya),ÑuSat-22,Argentina,Commercial,Earth Observation,536,2021-06-30
ÑuSat-3 (Milanesat),ÑuSat-3 ,Argentina,Commercial,Earth Observation,545,2017-06-15
ÑuSat-4 (Ada),ÑuSat-4,Argentina,Commercial,Earth Observation,503,2018-02-02
ÑuSat-5 (Maryam),ÑuSat-5,Argentina,Commercial,Earth Observation,507,2018-02-02
ÑuSat-6 (Hypatia),ÑuSat-6 ,Argentina,Commercial,Earth Observation,524,2020-09-02
ÑuSat-7 (Sophie),ÑuSat 7,Argentina,Commercial,Earth Observation,490,2020-01-15
ÑuSat-8 (Marie),ÑuSat 8,Argentina,Commercial,Earth Observation,492,2020-01-15
ÑuSat-9 (Alice),ÑuSat-9,Argentina,Commercial,Earth Observation,479,2020-11-06
NuSTAR (Nuclear Spectroscopic Telescope Array),NuSTAR,USA,Government,Space Science,632,2012-06-13
"O/OREOS (Organism/Organic Exposure to Orbital Stresses, USA 219)",USA 219,USA,Government/Civil,Space Science,654,2010-11-20
O3b FM02,O3b FM02,United Kingdom,Commercial,Communications,"8,069",2013-06-25
O3b FM03,O3b FM03,United Kingdom,Commercial,Communications,"8,071",2014-07-10
O3b FM04,O3b FM04,United Kingdom,Commercial,Communications,"8,069",2013-06-25
O3b FM05 (Other 3 Billion),O3b FM05,United Kingdom,Commercial,Communications,"8,068",2013-06-25
O3b FM06,O3b FM06,United Kingdom,Commercial,Communications,"7,845",2014-07-10
O3b FM07,O3b FM07,United Kingdom,Commercial,Communications,"7,844",2014-07-10
O3b FM08,O3b FM08,United Kingdom,Commercial,Communications,"7,842",2014-07-10
O3b FM09,O3b FM09,United Kingdom,Commercial,Communications,"8,068",2014-12-18
O3b FM10,O3b FM10,United Kingdom,Commercial,Communications,"8,069",2014-12-18
O3b FM11,O3b FM11,United Kingdom,Commercial,Communications,"8,069",2014-12-18
O3b FM12,O3b FM12,United Kingdom,Commercial,Communications,"8,069",2014-12-18
O3b FM13,O3b FM13,United Kingdom,Commercial,Communications,"8,069",2018-03-09
O3b FM14,O3b FM14,United Kingdom,Commercial,Communications,"8,069",2018-03-09
O3b FM15,O3b FM15,United Kingdom,Commercial,Communications,"8,069",2018-03-09
O3b FM16,O3b FM16,United Kingdom,Commercial,Communications,"8,069",2018-03-09
O3b FM17,O3b FM17,United Kingdom,Commercial,Communications,"7,840",2019-04-04
O3b FM18,O3b FM18,United Kingdom,Commercial,Communications,"7,839",2019-04-04
O3b FM19,O3b FM19,United Kingdom,Commercial,Communications,"7,839",2019-04-04
O3b FM20,O3b FM20,United Kingdom,Commercial,Communications,"7,839",2019-04-04
O3b PFM,O3b PFM,United Kingdom,Commercial,Communications,"8,069",2013-06-25
OCO 2  (Orbiting Carbon Observatory),OCO 2,USA,Government,Earth Observation,704,2014-07-02
Oculus ASR,Oculus ASR,USA,Military,Technology Development,853,2019-06-25
Odin ,Odin,Sweden,Government,Earth Observation,573,2001-02-20
Odyssey (TacRL-2),Odyssey,USA,Military,Space Observation,450,2021-06-13
Ofeq 10,Ofeq 10,Israel,Military,Earth Observation,601,2014-04-09
Ofeq 11,Ofeq 11,Israel,Military,Earth Observation,608,2016-09-13
Ofeq 16,Ofeq 16,Israel,Military,Earth Observation,603,2020-07-06
Ofeq 5 ,Ofeq 5,Israel,Military,Earth Observation,764,2002-05-28
Ofeq 7,Ofeq 7,Israel,Military,Earth Observation,576,2007-06-10
Ofeq 9,Ofeq 9,Israel,Military,Earth Observation,589,2010-06-22
OneWeb-0006,OneWeb-0006,United Kingdom,Commercial,Communications,"1,202",2019-02-27
OneWeb-0007,OneWeb-0007,United Kingdom,Commercial,Communications,"1,202",2019-02-27
OneWeb-0008,OneWeb-0008,United Kingdom,Commercial,Communications,"1,202",2019-02-27
OneWeb-0010,OneWeb-0010,United Kingdom,Commercial,Communications,"1,202",2019-02-27
OneWeb-0011,OneWeb-0011,United Kingdom,Commercial,Communications,"1,202",2019-02-27
OneWeb-0012,OneWeb-0012,United Kingdom,Commercial,Communications,"1,202",2019-02-27
OneWeb-0013,OneWeb-0013,United Kingdom,Commercial,Communications,"1,202",2020-02-06
OneWeb-0017,OneWeb-0017,United Kingdom,Commercial,Communications,"1,202",2020-02-06
OneWeb-0018,OneWeb-0018,United Kingdom,Commercial,Communications,"1,220",2020-03-21
OneWeb-0019,OneWeb-0019,United Kingdom,Commercial,Communications,"1,220",2020-03-21
OneWeb-0020,OneWeb-0020,United Kingdom,Commercial,Communications,"1,220",2020-02-06
OneWeb-0021,OneWeb-0021,United Kingdom,Commercial,Communications,"1,220",2020-02-06
